# Kaon Beam-Spin Asymmetry (KIN-1)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
28  1  1  -172.80  -180.00  -165.60  2.50  0.00  5.00  19.750000  4.616550  10.750000  3.682730  0.295082  0.189308 
29  2  1  -158.40  -165.60  -151.20  2.50  0.00  5.00  13.250000  3.766630  8.500000  3.221020  0.218391  0.225563 
30  3  1  -144.00  -151.20  -136.80  2.50  0.00  5.00  21.750000  4.697070  19.750000  4.616550  0.048193  0.158750 
31  4  1  -129.60  -136.80  -122.40  2.50  0.00  5.00  22.250000  4.943430  21.750000  4.828300  0.011364  0.157017 
32  5  1  -115.20  -122.40  -108.00  2.50  0.00  5.00  25.500000  5.232110  16.750000  4.279310  0.207101  0.156810 
33  6  1  -100.80  -108.00  -93.60  2.50  0.00  5.00  16.250000  4.293890  28.250000  5.629170  -0.269663  0.153442 
34  7  1  -86.40  -93.60  -79.20  2.50  0.00  5.00  21.000000  4.716990  34.750000  6.128830  -0.246637  0.134107 
35  8  1  -72.00  -79.20  -64.80  2.50  0.00  5.00  28.500000  5.623610  30.750000  5.684410  -0.037975  0.134997 
36  9  1  -57.60  -64.80  -50.40  2.50  0.00  5.00  24.500000  5.488620  28.750000  5.618050  -0.079812  0.147691 
37  10  1  -43.20  -50.40  -36.00  2.50  0.00  5.00  34.750000  6.128830  40.500000  6.698880  -0.076412  0.120192 
38  11  1  -28.80  -36.00  -21.60  2.50  0.00  5.00  34.000000  6.245000  29.000000  5.722760  0.079365  0.133946 
39  12  1  -14.40  -21.60  -7.20  2.50  0.00  5.00  39.000000  6.538350  35.500000  6.314670  0.046980  0.121946 
40  13  1  0.00  -7.20  7.20  2.50  0.00  5.00  43.500000  6.828250  29.000000  5.830950  0.200000  0.122440 
41  14  1  14.40  7.20  21.60  2.50  0.00  5.00  35.750000  6.309710  44.250000  6.995530  -0.106250  0.117136 
42  15  1  28.80  21.60  36.00  2.50  0.00  5.00  36.000000  6.304760  35.250000  6.219930  0.010526  0.124291 
43  16  1  43.20  36.00  50.40  2.50  0.00  5.00  30.750000  5.900210  27.500000  5.645790  0.055794  0.140067 
44  17  1  57.60  50.40  64.80  2.50  0.00  5.00  35.250000  6.219930  29.750000  5.706360  0.084615  0.129381 
45  18  1  72.00  64.80  79.20  2.50  0.00  5.00  20.750000  4.854120  21.250000  4.968650  -0.011905  0.165352 
46  19  1  86.40  79.20  93.60  2.50  0.00  5.00  20.750000  4.723610  27.250000  5.425630  -0.135417  0.148443 
47  20  1  100.80  93.60  108.00  2.50  0.00  5.00  23.250000  5.043560  22.500000  4.808850  0.016393  0.152222 
48  21  1  115.20  108.00  122.40  2.50  0.00  5.00  22.500000  4.937100  13.500000  4.077380  0.250000  0.174995 
49  22  1  129.60  122.40  136.80  2.50  0.00  5.00  21.000000  4.716990  31.500000  5.884300  -0.200000  0.140230 
50  23  1  144.00  136.80  151.20  2.50  0.00  5.00  11.250000  3.491060  16.750000  4.279310  -0.196429  0.193222 
51  24  1  158.40  151.20  165.60  2.50  0.00  5.00  14.500000  3.889090  19.250000  4.493050  -0.140741  0.174254 
52  25  1  172.80  165.60  180.00  2.50  0.00  5.00  20.250000  4.602990  16.000000  4.000000  0.117241  0.166622 
55  1  2  -172.80  -180.00  -165.60  7.50  5.00  10.00  18.500000  4.373210  20.250000  4.602990  -0.045161  0.163639 
