# Pion Beam-Spin Asymmetry (KIN-1-FINAL)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
28  1  1  -172.80  -180.00  -165.60  2.50  0.00  5.00  64.250000  8.073880  53.500000  7.356970  0.091295  0.092365 
29  2  1  -158.40  -165.60  -151.20  2.50  0.00  5.00  84.250000  9.229710  51.750000  7.301540  0.238971  0.084214 
30  3  1  -144.00  -151.20  -136.80  2.50  0.00  5.00  63.250000  8.011710  75.500000  8.724960  -0.088288  0.085063 
31  4  1  -129.60  -136.80  -122.40  2.50  0.00  5.00  76.500000  8.782080  82.750000  9.113860  -0.039246  0.079421 
32  5  1  -115.20  -122.40  -108.00  2.50  0.00  5.00  107.250000  10.461200  90.500000  9.545940  0.084703  0.071318 
33  6  1  -100.80  -108.00  -93.60  2.50  0.00  5.00  116.500000  10.880000  125.000000  11.236100  -0.035197  0.064731 
34  7  1  -86.40  -93.60  -79.20  2.50  0.00  5.00  131.000000  11.500000  126.500000  11.330300  0.017476  0.062688 
35  8  1  -72.00  -79.20  -64.80  2.50  0.00  5.00  146.500000  12.180900  173.000000  13.247600  -0.082942  0.056129 
36  9  1  -57.60  -64.80  -50.40  2.50  0.00  5.00  161.750000  12.828200  187.000000  13.765900  -0.072401  0.053820 
37  10  1  -43.20  -50.40  -36.00  2.50  0.00  5.00  187.750000  13.804400  181.750000  13.631300  0.016238  0.052501 
38  11  1  -28.80  -36.00  -21.60  2.50  0.00  5.00  211.750000  14.648000  200.500000  14.357100  0.027289  0.049744 
39  12  1  -14.40  -21.60  -7.20  2.50  0.00  5.00  219.750000  14.918500  210.000000  14.577400  0.022688  0.048523 
40  13  1  0.00  -7.20  7.20  2.50  0.00  5.00  237.000000  15.516100  237.750000  15.510100  -0.001580  0.046211 
41  14  1  14.40  7.20  21.60  2.50  0.00  5.00  219.500000  14.920600  215.000000  14.790200  0.010357  0.048350 
42  15  1  28.80  21.60  36.00  2.50  0.00  5.00  204.250000  14.367900  240.500000  15.608500  -0.081506  0.047537 
43  16  1  43.20  36.00  50.40  2.50  0.00  5.00  189.500000  13.833800  178.000000  13.388400  0.031293  0.052357 
44  17  1  57.60  50.40  64.80  2.50  0.00  5.00  165.000000  12.942200  161.750000  12.828200  0.009946  0.055767 
45  18  1  72.00  64.80  79.20  2.50  0.00  5.00  160.750000  12.789200  144.250000  12.152700  0.054098  0.057769 
46  19  1  86.40  79.20  93.60  2.50  0.00  5.00  133.250000  11.637800  134.000000  11.629700  -0.002806  0.061563 
47  20  1  100.80  93.60  108.00  2.50  0.00  5.00  108.500000  10.506000  111.500000  10.588900  -0.013636  0.067801 
48  21  1  115.20  108.00  122.40  2.50  0.00  5.00  98.750000  10.015600  85.000000  9.287090  0.074830  0.074122 
