# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5          62       7.95299
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5       62.25       7.94906
     30         3         1          -144    -151.2    -136.8         2.5         0           5       59.75          7.75
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5       64.75       8.06613
     32         5         1        -115.2    -122.4      -108         2.5         0           5          78       8.83176
     33         6         1        -100.8      -108     -93.6         2.5         0           5        51.5       7.30582
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5          73         8.544
     35         8         1           -72     -79.2     -64.8         2.5         0           5       65.75       8.12788
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5       51.75       7.21543
     37        10         1         -43.2     -50.4       -36         2.5         0           5       61.75       7.87798
     38        11         1         -28.8       -36     -21.6         2.5         0           5          85       9.28709
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5          57       7.63217
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5        77.5       8.83883
     41        14         1          14.4       7.2      21.6         2.5         0           5          70       8.44097
     42        15         1          28.8      21.6        36         2.5         0           5       64.75       8.06613
     43        16         1          43.2        36      50.4         2.5         0           5          60       7.74597
     44        17         1          57.6      50.4      64.8         2.5         0           5          64       8.07775
     45        18         1            72      64.8      79.2         2.5         0           5        75.5       8.72496
     46        19         1          86.4      79.2      93.6         2.5         0           5       80.25       9.01041
     47        20         1         100.8      93.6       108         2.5         0           5       77.75        8.8353
     48        21         1         115.2       108     122.4         2.5         0           5       58.75       7.68521
     49        22         1         129.6     122.4     136.8         2.5         0           5          77       8.77496
     50        23         1           144     136.8     151.2         2.5         0           5       71.75       8.48896
     51        24         1         158.4     151.2     165.6         2.5         0           5        69.5       8.37407
     52        25         1         172.8     165.6       180         2.5         0           5          80       8.94427
     55         1         2        -172.8      -180    -165.6         7.5         5          10      134.25        11.627
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10         171       13.1244
     57         3         2          -144    -151.2    -136.8         7.5         5          10      139.75       11.8875
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10      178.75       13.4745
     59         5         2        -115.2    -122.4      -108         7.5         5          10      200.25       14.1841
     60         6         2        -100.8      -108     -93.6         7.5         5          10      209.25       14.5409
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10         199       14.1951
     62         8         2           -72     -79.2     -64.8         7.5         5          10         185       13.6931
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10         194       14.0624
     64        10         2         -43.2     -50.4       -36         7.5         5          10       171.5       13.1672
     65        11         2         -28.8       -36     -21.6         7.5         5          10      146.75       12.1784
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10         147       12.1758
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10       122.5       11.1524
     68        14         2          14.4       7.2      21.6         7.5         5          10         140       11.8849
     69        15         2          28.8      21.6        36         7.5         5          10      168.25       13.0552
     70        16         2          43.2        36      50.4         7.5         5          10         152       12.4298
     71        17         2          57.6      50.4      64.8         7.5         5          10       176.5       13.3557
     72        18         2            72      64.8      79.2         7.5         5          10         213       14.6373
     73        19         2          86.4      79.2      93.6         7.5         5          10       204.5       14.3222
     74        20         2         100.8      93.6       108         7.5         5          10      176.25       13.3112
     75        21         2         115.2       108     122.4         7.5         5          10       204.5       14.3658
     76        22         2         129.6     122.4     136.8         7.5         5          10       154.5        12.505
     77        23         2           144     136.8     151.2         7.5         5          10      148.75       12.2602
     78        24         2         158.4     151.2     165.6         7.5         5          10         146        12.083
     79        25         2         172.8     165.6       180         7.5         5          10         134       11.6297
     82         1         3        -172.8      -180    -165.6        12.5        10          15       93.75       9.76281
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15       131.5       11.4946
     84         3         3          -144    -151.2    -136.8        12.5        10          15       124.5       11.2417
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15         168       13.0096
     86         5         3        -115.2    -122.4      -108        12.5        10          15       231.5       15.2766
     87         6         3        -100.8      -108     -93.6        12.5        10          15      246.25       15.7619
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15      249.75       15.8922
     89         8         3           -72     -79.2     -64.8        12.5        10          15      251.75        15.955
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15       193.5       14.0223
     91        10         3         -43.2     -50.4       -36        12.5        10          15       180.5       13.5508
     92        11         3         -28.8       -36     -21.6        12.5        10          15      140.25       11.9347
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15      120.25       11.0651
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15      127.25       11.3771
     95        14         3          14.4       7.2      21.6        12.5        10          15         126       11.3908
     96        15         3          28.8      21.6        36        12.5        10          15       150.5        12.344
     97        16         3          43.2        36      50.4        12.5        10          15       191.5       13.9508
     98        17         3          57.6      50.4      64.8        12.5        10          15      232.25       15.3114
     99        18         3            72      64.8      79.2        12.5        10          15      246.25       15.7619
    100        19         3          86.4      79.2      93.6        12.5        10          15         244       15.7401
    101        20         3         100.8      93.6       108        12.5        10          15      255.25       16.0059
    102        21         3         115.2       108     122.4        12.5        10          15      192.25       13.9441
    103        22         3         129.6     122.4     136.8        12.5        10          15         174       13.2853
    104        23         3           144     136.8     151.2        12.5        10          15         150       12.2984
    105        24         3         158.4     151.2     165.6        12.5        10          15      111.25       10.5919
    106        25         3         172.8     165.6       180        12.5        10          15       98.25       9.95929
    109         1         4        -172.8      -180    -165.6        17.5        15          20       37.25        6.1796
    110         2         4        -158.4    -165.6    -151.2        17.5        15          20        54.5       7.42462
    111         3         4          -144    -151.2    -136.8        17.5        15          20       69.75       8.37033
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20      126.25       11.2777
    113         5         4        -115.2    -122.4      -108        17.5        15          20      192.75       13.9844
    114         6         4        -100.8      -108     -93.6        17.5        15          20       214.5       14.7521
    115         7         4         -86.4     -93.6     -79.2        17.5        15          20      277.75         16.75
    116         8         4           -72     -79.2     -64.8        17.5        15          20      222.75       15.0603
    117         9         4         -57.6     -64.8     -50.4        17.5        15          20      214.75         14.75
    118        10         4         -43.2     -50.4       -36        17.5        15          20      163.25       12.9108
    119        11         4         -28.8       -36     -21.6        17.5        15          20       134.5       11.7314
    120        12         4         -14.4     -21.6      -7.2        17.5        15          20         107       10.4043
