# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5         231       15.5242
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5      212.75       14.8513
     30         3         1          -144    -151.2    -136.8         2.5         0           5      252.75       16.0254
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5       256.5       16.2288
     32         5         1        -115.2    -122.4      -108         2.5         0           5       261.5       16.3057
     33         6         1        -100.8      -108     -93.6         2.5         0           5      244.75       15.8134
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5      254.75       16.0877
     35         8         1           -72     -79.2     -64.8         2.5         0           5         261       16.3095
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5       240.5       15.7282
     37        10         1         -43.2     -50.4       -36         2.5         0           5       242.5       15.7123
     38        11         1         -28.8       -36     -21.6         2.5         0           5       225.5       15.1616
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5      219.25       15.0893
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5      215.75       14.9937
     41        14         1          14.4       7.2      21.6         2.5         0           5      225.25       15.2459
     42        15         1          28.8      21.6        36         2.5         0           5      265.25       16.4298
     43        16         1          43.2        36      50.4         2.5         0           5      235.25       15.6505
     44        17         1          57.6      50.4      64.8         2.5         0           5      264.25       16.4374
     45        18         1            72      64.8      79.2         2.5         0           5         216       14.9499
     46        19         1          86.4      79.2      93.6         2.5         0           5         209       14.6287
     47        20         1         100.8      93.6       108         2.5         0           5      239.75       15.6545
     48        21         1         115.2       108     122.4         2.5         0           5      225.75       15.2007
