# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5           2       1.41421
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5           1             1
     30         3         1          -144    -151.2    -136.8         2.5         0           5           0             0
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5           1             1
     32         5         1        -115.2    -122.4      -108         2.5         0           5           1             1
     33         6         1        -100.8      -108     -93.6         2.5         0           5        1.75       1.43614
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5           3       1.73205
     35         8         1           -72     -79.2     -64.8         2.5         0           5        4.75          2.25
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5         4.5       2.26385
     37        10         1         -43.2     -50.4       -36         2.5         0           5        7.25       2.86138
     38        11         1         -28.8       -36     -21.6         2.5         0           5        3.75       2.30489
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5           9       3.20156
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5        8.75       3.21131
     41        14         1          14.4       7.2      21.6         2.5         0           5        7.25       2.86138
     42        15         1          28.8      21.6        36         2.5         0           5        6.25       2.68095
     43        16         1          43.2        36      50.4         2.5         0           5         4.5       2.26385
     44        17         1          57.6      50.4      64.8         2.5         0           5           3       1.73205
     45        18         1            72      64.8      79.2         2.5         0           5           0       1.11803
     46        19         1          86.4      79.2      93.6         2.5         0           5        0.25       1.08972
     47        20         1         100.8      93.6       108         2.5         0           5           5       2.23607
     48        21         1         115.2       108     122.4         2.5         0           5        0.75       1.03078
     49        22         1         129.6     122.4     136.8         2.5         0           5           2       1.41421
     50        23         1           144     136.8     151.2         2.5         0           5       -0.25          0.25
     51        24         1         158.4     151.2     165.6         2.5         0           5           0             0
     52        25         1         172.8     165.6       180         2.5         0           5           1             1
     55         1         2        -172.8      -180    -165.6         7.5         5          10           0             0
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10           0             0
     57         3         2          -144    -151.2    -136.8         7.5         5          10           0             0
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10           0             0
     59         5         2        -115.2    -122.4      -108         7.5         5          10        0.75       1.03078
     60         6         2        -100.8      -108     -93.6         7.5         5          10           1             1
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10           2       1.41421
     62         8         2           -72     -79.2     -64.8         7.5         5          10        7.75       3.05164
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10       15.75       4.30842
     64        10         2         -43.2     -50.4       -36         7.5         5          10          17       5.07445
     65        11         2         -28.8       -36     -21.6         7.5         5          10       30.75       6.50481
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10       34.25       6.62854
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10       32.75       6.65676
     68        14         2          14.4       7.2      21.6         7.5         5          10       26.25       5.88961
     69        15         2          28.8      21.6        36         7.5         5          10          20       5.24404
     70        16         2          43.2        36      50.4         7.5         5          10          25       5.59017
     71        17         2          57.6      50.4      64.8         7.5         5          10       19.75          4.75
     72        18         2            72      64.8      79.2         7.5         5          10       13.75       4.06971
     73        19         2          86.4      79.2      93.6         7.5         5          10           2       1.80278
     74        20         2         100.8      93.6       108         7.5         5          10        2.75          1.75
     75        21         2         115.2       108     122.4         7.5         5          10        1.25       1.47902
     76        22         2         129.6     122.4     136.8         7.5         5          10           0             0
     77        23         2           144     136.8     151.2         7.5         5          10        -0.5      0.353553
     78        24         2         158.4     151.2     165.6         7.5         5          10           0             0
     79        25         2         172.8     165.6       180         7.5         5          10           0             0
     82         1         3        -172.8      -180    -165.6        12.5        10          15           0             0
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15           0             0
     84         3         3          -144    -151.2    -136.8        12.5        10          15           0             0
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15           0             0
     86         5         3        -115.2    -122.4      -108        12.5        10          15           0             0
     87         6         3        -100.8      -108     -93.6        12.5        10          15       -0.25          0.25
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15        2.75          1.75
     89         8         3           -72     -79.2     -64.8        12.5        10          15        4.25       2.53722
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15        14.5       4.62331
     91        10         3         -43.2     -50.4       -36        12.5        10          15          30       6.80074
     92        11         3         -28.8       -36     -21.6        12.5        10          15       51.25       8.64219
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15       62.75       9.77561
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15          47        8.8459
     95        14         3          14.4       7.2      21.6        12.5        10          15       63.75       9.37083
     96        15         3          28.8      21.6        36        12.5        10          15       37.75       7.78219
     97        16         3          43.2        36      50.4        12.5        10          15       21.25       5.78252
     98        17         3          57.6      50.4      64.8        12.5        10          15       10.25       4.17582
     99        18         3            72      64.8      79.2        12.5        10          15         4.5       2.26385
    100        19         3          86.4      79.2      93.6        12.5        10          15        3.75       2.01556
    101        20         3         100.8      93.6       108        12.5        10          15        0.75       1.03078
    102        21         3         115.2       108     122.4        12.5        10          15           0             0
    103        22         3         129.6     122.4     136.8        12.5        10          15           0             0
    104        23         3           144     136.8     151.2        12.5        10          15           0             0
    105        24         3         158.4     151.2     165.6        12.5        10          15           0             0
    106        25         3         172.8     165.6       180        12.5        10          15           0             0
    109         1         4        -172.8      -180    -165.6        17.5        15          20           0             0
    110         2         4        -158.4    -165.6    -151.2        17.5        15          20           0             0
    111         3         4          -144    -151.2    -136.8        17.5        15          20           0             0
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20           0             0
    113         5         4        -115.2    -122.4      -108        17.5        15          20           0             0
    114         6         4        -100.8      -108     -93.6        17.5        15          20           0             0
    115         7         4         -86.4     -93.6     -79.2        17.5        15          20           3       1.73205
    116         8         4           -72     -79.2     -64.8        17.5        15          20        4.25       2.27761
    117         9         4         -57.6     -64.8     -50.4        17.5        15          20         8.5       4.22788
    118        10         4         -43.2     -50.4       -36        17.5        15          20       32.25       7.03118
    119        11         4         -28.8       -36     -21.6        17.5        15          20       37.75       8.17389
    120        12         4         -14.4     -21.6      -7.2        17.5        15          20       40.75       8.79275
    121        13         4   1.42109e-14      -7.2       7.2        17.5        15          20        35.5       8.93728
    122        14         4          14.4       7.2      21.6        17.5        15          20       44.25       8.74285
    123        15         4          28.8      21.6        36        17.5        15          20          35       7.82624
    124        16         4          43.2        36      50.4        17.5        15          20        24.5       6.62382
    125        17         4          57.6      50.4      64.8        17.5        15          20       18.75       4.90535
    126        18         4            72      64.8      79.2        17.5        15          20        2.25       1.78536
    127        19         4          86.4      79.2      93.6        17.5        15          20           0             0
    128        20         4         100.8      93.6       108        17.5        15          20       -0.25          0.25
    129        21         4         115.2       108     122.4        17.5        15          20           0             0
    130        22         4         129.6     122.4     136.8        17.5        15          20           0             0
    131        23         4           144     136.8     151.2        17.5        15          20           0             0
    132        24         4         158.4     151.2     165.6        17.5        15          20           0             0
    133        25         4         172.8     165.6       180        17.5        15          20       -0.25          0.25
    136         1         5        -172.8      -180    -165.6        22.5        20          25           0             0
    137         2         5        -158.4    -165.6    -151.2        22.5        20          25           0             0
    138         3         5          -144    -151.2    -136.8        22.5        20          25           0             0
    139         4         5        -129.6    -136.8    -122.4        22.5        20          25           0             0
    140         5         5        -115.2    -122.4      -108        22.5        20          25           0             0
    141         6         5        -100.8      -108     -93.6        22.5        20          25           0             0
    142         7         5         -86.4     -93.6     -79.2        22.5        20          25           0             0
    143         8         5           -72     -79.2     -64.8        22.5        20          25       -0.25          0.25
    144         9         5         -57.6     -64.8     -50.4        22.5        20          25         8.5       3.40955
    145        10         5         -43.2     -50.4       -36        22.5        20          25        13.5       5.27968
    146        11         5         -28.8       -36     -21.6        22.5        20          25       15.75       6.00521
    147        12         5         -14.4     -21.6      -7.2        22.5        20          25        14.5       6.13392
    148        13         5   1.42109e-14      -7.2       7.2        22.5        20          25       10.25       5.35607
    149        14         5          14.4       7.2      21.6        22.5        20          25       14.75       5.48293
    150        15         5          28.8      21.6        36        22.5        20          25        15.5       5.90551
    151        16         5          43.2        36      50.4        22.5        20          25        15.5       5.23211
    152        17         5          57.6      50.4      64.8        22.5        20          25        5.25       2.94746
    153        18         5            72      64.8      79.2        22.5        20          25        0.75       1.03078
    154        19         5          86.4      79.2      93.6        22.5        20          25           0             0
    155        20         5         100.8      93.6       108        22.5        20          25           0             0
    156        21         5         115.2       108     122.4        22.5        20          25           0             0
    157        22         5         129.6     122.4     136.8        22.5        20          25           0             0
    158        23         5           144     136.8     151.2        22.5        20          25           0             0
    159        24         5         158.4     151.2     165.6        22.5        20          25           0             0
    160        25         5         172.8     165.6       180        22.5        20          25           0             0
    163         1         6        -172.8      -180    -165.6        27.5        25          30           0             0
    164         2         6        -158.4    -165.6    -151.2        27.5        25          30           0             0
    165         3         6          -144    -151.2    -136.8        27.5        25          30           0             0
    166         4         6        -129.6    -136.8    -122.4        27.5        25          30           0             0
    167         5         6        -115.2    -122.4      -108        27.5        25          30           0             0
    168         6         6        -100.8      -108     -93.6        27.5        25          30           0             0
    169         7         6         -86.4     -93.6     -79.2        27.5        25          30           0             0
    170         8         6           -72     -79.2     -64.8        27.5        25          30           0             0
    171         9         6         -57.6     -64.8     -50.4        27.5        25          30           2       1.41421
    172        10         6         -43.2     -50.4       -36        27.5        25          30           7        3.4641
    173        11         6         -28.8       -36     -21.6        27.5        25          30           5       3.16228
    174        12         6         -14.4     -21.6      -7.2        27.5        25          30           2       2.87228
