# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5       38.25       6.25999
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5        32.5       5.75543
     30         3         1          -144    -151.2    -136.8         2.5         0           5          35        6.0208
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5        23.5       4.91172
     32         5         1        -115.2    -122.4      -108         2.5         0           5          25       5.12348
     33         6         1        -100.8      -108     -93.6         2.5         0           5       21.75       4.69707
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5        17.5       4.25735
     35         8         1           -72     -79.2     -64.8         2.5         0           5       16.75       4.13068
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5       11.75       3.47311
     37        10         1         -43.2     -50.4       -36         2.5         0           5          14       3.90512
     38        11         1         -28.8       -36     -21.6         2.5         0           5          11           3.5
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5       13.75          3.75
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5          10       3.16228
     41        14         1          14.4       7.2      21.6         2.5         0           5          20       4.47214
     42        15         1          28.8      21.6        36         2.5         0           5          18       4.24264
     43        16         1          43.2        36      50.4         2.5         0           5       12.75       3.61421
     44        17         1          57.6      50.4      64.8         2.5         0           5       18.75       4.36606
     45        18         1            72      64.8      79.2         2.5         0           5       18.25       4.38035
     46        19         1          86.4      79.2      93.6         2.5         0           5       18.75       4.50694
     47        20         1         100.8      93.6       108         2.5         0           5       27.25       5.30919
     48        21         1         115.2       108     122.4         2.5         0           5       17.75          4.25
     49        22         1         129.6     122.4     136.8         2.5         0           5        31.5       5.66789
     50        23         1           144     136.8     151.2         2.5         0           5        39.5       6.33443
     51        24         1         158.4     151.2     165.6         2.5         0           5          29           5.5
     52        25         1         172.8     165.6       180         2.5         0           5          36             6
     55         1         2        -172.8      -180    -165.6         7.5         5          10      144.75       12.1989
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10         145       12.1963
     57         3         2          -144    -151.2    -136.8         7.5         5          10      130.25       11.5623
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10       119.5       11.0736
     59         5         2        -115.2    -122.4      -108         7.5         5          10        97.5        9.9687
     60         6         2        -100.8      -108     -93.6         7.5         5          10          92        9.6566
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10          53       7.36546
     62         8         2           -72     -79.2     -64.8         7.5         5          10       46.25       6.95971
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10       34.75       6.02599
     64        10         2         -43.2     -50.4       -36         7.5         5          10       37.75       6.16948
     65        11         2         -28.8       -36     -21.6         7.5         5          10       29.75       5.48293
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10       18.75       4.36606
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10          18       4.24264
     68        14         2          14.4       7.2      21.6         7.5         5          10       28.75       5.39096
     69        15         2          28.8      21.6        36         7.5         5          10        27.5        5.3033
     70        16         2          43.2        36      50.4         7.5         5          10        35.5       6.01041
     71        17         2          57.6      50.4      64.8         7.5         5          10          30       5.59017
     72        18         2            72      64.8      79.2         7.5         5          10       67.25       8.33292
     73        19         2          86.4      79.2      93.6         7.5         5          10          74       8.67468
